gene	mean	median	longest_isoform	merged
ENSG00000158286.13	3981	3981	3981	3981
ENSG00000116237.16	4795	4795	4795	4795
ENSG00000225077.3	1589	1589	2040	2322
ENSG00000173673.9	710	710	710	710
ENSG00000158292.7	4198	4198	4198	4198
ENSG00000097021.21	1613	1614	1813	2786
ENSG00000271746.1	837	837	837	837
ENSG00000069812.11	1537	968	4262	5407
ENSG00000187017.18	3204	3543	4731	5856
ENSG00000265392.1	63	63	63	63
ENSG00000231868.1	351	351	351	351
ENSG00000215788.11	1373	1441	1968	1997
ENSG00000171680.23	3612	3689	4191	5237
ENSG00000162408.11	6627	6627	6627	6627
ENSG00000253022.1	111	111	111	111
ENSG00000229519.2	401	401	401	401
ENSG00000173662.21	2317	2317	2764	2764
ENSG00000204859.13	2347	2347	2347	2347
ENSG00000162413.17	3163	2771	6445	6603
ENSG00000116273.6	3632	3632	3632	3632
ENSG00000041988.16	1486	1361	2053	2949
ENSG00000007923.17	2705	2705	3201	3309
ENSG00000228750.7	1183	1183	1686	2159
ENSG00000284744.1	987	987	987	987
ENSG00000237436.1	415	415	415	415
ENSG00000171735.20	3621	3133	8314	11028
ENSG00000227950.1	286	286	286	286
ENSG00000237365.1	349	349	349	349
ENSG00000207056.1	165	165	165	165
ENSG00000237402.1	365	365	365	365
ENSG00000237728.2	412	412	433	744
ENSG00000225126.1	361	361	361	361
ENSG00000270171.1	1721	1721	1721	1721
ENSG00000270035.1	570	570	570	570
ENSG00000269978.1	267	267	267	267
ENSG00000049245.13	1566	1566	2178	2670
ENSG00000269925.1	393	393	393	393
ENSG00000049246.15	5334	6261	6365	6515
ENSG00000236266.1	830	830	830	830
ENSG00000049247.14	870	591	1601	1793
ENSG00000049249.10	5872	5872	5872	5872
ENSG00000270330.1	355	355	355	355
ENSG00000116288.13	954	977	1127	1354
ENSG00000200344.1	103	103	103	103
ENSG00000284747.1	2168	2168	2236	4116
ENSG00000284716.1	1043	1043	1043	1043
ENSG00000116285.13	1667	1546	3097	4163
ENSG00000238290.1	2044	2044	2044	2044
ENSG00000232848.1	800	800	800	800
ENSG00000229305.1	1075	1075	1075	1075
ENSG00000288816.1	1002	1002	1002	1002
ENSG00000227634.3	590	590	683	740
ENSG00000200975.1	164	164	164	164
ENSG00000233645.1	477	477	477	477
ENSG00000251977.1	107	107	107	107
ENSG00000162426.16	2448	2448	2496	2498
ENSG00000252254.1	113	113	113	113
ENSG00000142599.20	5090	5496	8026	10348
ENSG00000232912.6	1052	1052	1052	1052
ENSG00000221083.1	125	125	125	125
ENSG00000270282.1	369	369	369	369
ENSG00000234619.1	658	658	658	658
ENSG00000224315.2	703	703	703	703
ENSG00000222511.2	103	103	103	103
ENSG00000226545.1	415	415	415	415
ENSG00000228423.2	353	353	353	353
ENSG00000229716.2	369	369	369	369
ENSG00000074800.16	1781	1781	1782	1843
ENSG00000274258.1	89	89	89	89
ENSG00000230679.1	456	456	456	456
ENSG00000201725.1	107	107	107	107
ENSG00000238249.2	743	743	743	743
ENSG00000232208.2	352	352	352	352
ENSG00000232663.2	163	163	163	163
ENSG00000131686.15	1129	1138	1493	2661
ENSG00000290109.1	755	755	755	755
ENSG00000265141.2	299	299	299	299
ENSG00000197241.4	1944	1944	1944	1944
ENSG00000142583.18	3214	3214	4085	5680
ENSG00000252404.1	184	184	184	184
ENSG00000180758.12	5197	5197	5197	5197
ENSG00000228526.8	4334	4334	4457	8379
ENSG00000284357.1	110	110	110	110
ENSG00000289914.1	624	624	624	624
ENSG00000234546.5	1189	1189	1265	1368
ENSG00000049239.13	7368	7368	9147	9322
ENSG00000171621.14	1850	1439	3106	3322
ENSG00000284652.1	1765	1765	1765	1765
ENSG00000284693.2	1254	839	2442	2623
ENSG00000252956.1	110	110	110	110
ENSG00000235263.1	708	708	708	708
ENSG00000171612.7	3865	3865	3865	3865
ENSG00000231181.1	559	559	559	559
ENSG00000188807.13	3833	3833	3851	6497
ENSG00000171608.18	4867	5157	5412	5936
ENSG00000179840.5	1823	1823	1823	1823
ENSG00000233268.3	421	421	421	421
ENSG00000231789.4	988	988	988	988
ENSG00000171603.18	4703	4703	4760	4779
ENSG00000271264.1	246	246	246	246
ENSG00000280113.2	1983	1983	1983	1983
ENSG00000178585.15	1378	1029	3006	3339
ENSG00000223989.1	424	424	424	424
ENSG00000285701.1	762	762	762	762
ENSG00000162441.12	2446	1405	4989	5005
ENSG00000228150.1	440	440	440	440
ENSG00000173614.14	2414	2414	3734	4292
ENSG00000202415.1	319	319	319	319
ENSG00000283611.2	444	444	444	444
ENSG00000265521.1	78	78	78	78
ENSG00000241326.1	436	436	436	436
ENSG00000162444.12	625	625	625	625
ENSG00000130939.20	4533	5338	6184	6849
ENSG00000224340.1	337	337	337	337
ENSG00000233623.2	680	680	680	680
ENSG00000201746.1	107	107	107	107
ENSG00000054523.20	7470	7408	10855	17274
ENSG00000264881.1	86	86	86	86
ENSG00000199562.1	107	107	107	107
ENSG00000264501.2	293	293	293	293
ENSG00000284735.1	1154	1154	1392	2309
ENSG00000284642.1	1369	1369	1369	1369
ENSG00000142657.21	2268	2268	2268	2268
ENSG00000271989.1	797	797	797	797
ENSG00000251503.8	897	626	1469	2244
ENSG00000175279.22	744	744	905	1184
ENSG00000241563.4	914	914	914	914
ENSG00000160049.12	3719	3719	6035	6625
ENSG00000203469.2	467	467	467	467
ENSG00000142655.13	1922	1922	1922	1922
ENSG00000287727.1	2876	2876	2876	2876
ENSG00000243267.3	280	280	280	280
ENSG00000130940.15	6169	6169	7934	8526
ENSG00000272078.1	7923	7923	7923	7923
ENSG00000225158.2	238	238	238	238
ENSG00000175262.15	2798	2798	2798	2798
ENSG00000215785.2	494	494	494	494
ENSG00000120948.19	1722	1031	4185	4274
ENSG00000009724.18	1985	1956	2641	3152
ENSG00000116649.10	1260	1260	1260	1260
ENSG00000171824.14	2758	2758	2796	2796
ENSG00000226849.1	2682	2682	2682	2682
ENSG00000230337.3	690	690	690	690
ENSG00000198793.14	8604	8604	8721	8721
ENSG00000225602.5	705	705	705	705
ENSG00000253086.1	103	103	103	103
ENSG00000171819.5	2224	2224	2224	2224
ENSG00000207451.1	107	107	107	107
ENSG00000238173.1	150	150	150	150
ENSG00000120942.14	2239	2239	3654	3946
ENSG00000238199.1	437	437	437	437
ENSG00000284646.1	742	742	742	742
ENSG00000224338.2	565	565	565	565
ENSG00000204624.8	3380	3380	5265	5417
ENSG00000285833.1	1051	1051	1051	1051
ENSG00000235643.2	1351	1351	1351	1351
ENSG00000284708.1	2094	2094	2094	2094
ENSG00000116661.11	1287	1287	1287	1287
ENSG00000132879.14	1943	1815	3320	3527
ENSG00000116670.16	1164	1027	1860	2324
ENSG00000116663.11	1444	1444	1444	1444
ENSG00000162490.7	7365	7365	7365	7365
ENSG00000177674.16	970	1055	1130	1317
ENSG00000215910.8	4608	4608	4672	5134
ENSG00000177553.6	1868	1868	1868	1868
ENSG00000177000.13	5315	7018	8378	8601
ENSG00000011021.23	4714	5589	5631	6087
ENSG00000276470.1	173	173	173	173
ENSG00000278852.1	149	149	149	149
ENSG00000175206.11	791	791	855	1120
ENSG00000275915.1	108	108	108	108
ENSG00000120937.9	708	708	708	708
ENSG00000224904.1	2637	2637	2637	2637
ENSG00000285646.2	1136	952	1715	2010
ENSG00000199347.1	120	120	120	120
ENSG00000201801.1	120	120	120	120
ENSG00000116685.16	2509	2539	2819	3281
ENSG00000083444.17	2976	2976	2976	2976
ENSG00000287384.1	595	595	595	595
ENSG00000116688.18	4465	4529	4772	6203
ENSG00000270914.1	93	93	93	93
ENSG00000116691.11	1541	1541	1541	1541
ENSG00000202461.1	113	113	113	113
ENSG00000276869.1	65	65	65	65
ENSG00000243539.3	275	275	275	275
ENSG00000120949.15	3238	3593	3760	3812
ENSG00000201135.1	104	104	104	104
ENSG00000227875.2	255	255	255	255
ENSG00000285604.1	1196	1196	1196	1196
ENSG00000283789.1	96	96	96	96
ENSG00000028137.19	2122	2122	3687	3698
ENSG00000263676.1	61	61	61	61
ENSG00000225196.2	316	316	316	316
ENSG00000252969.1	124	124	124	124
ENSG00000048707.15	12146	16245	16357	16667
ENSG00000239149.1	152	152	152	152
ENSG00000229484.3	1939	1939	1939	1939
ENSG00000162496.9	2201	2201	2201	2201
ENSG00000221340.1	101	101	101	101
ENSG00000276830.1	67	67	67	67
ENSG00000288927.2	540	540	573	599
ENSG00000272482.2	1081	1081	1081	1081
ENSG00000204518.3	2027	2027	2027	2027
ENSG00000226166.2	112	112	112	112
ENSG00000188984.12	4055	4055	4055	4055
ENSG00000157330.10	2129	2129	3564	3564
ENSG00000116726.5	2889	2889	2889	2889
ENSG00000116721.9	2160	2160	2160	2160
ENSG00000228338.1	378	378	378	378
ENSG00000239810.3	1845	1845	1845	1845
ENSG00000231103.2	1417	1417	1417	1417
ENSG00000179172.10	1134	1134	1134	1134
ENSG00000120952.4	1642	1642	1642	1642
ENSG00000243073.4	1840	1840	1840	1840
ENSG00000187545.5	1525	1525	1525	1525
ENSG00000204510.6	1713	1713	1866	1909
ENSG00000207434.1	107	107	107	107
ENSG00000234064.1	1139	1139	1139	1139
ENSG00000232423.6	1720	1720	1720	1784
ENSG00000274178.2	1450	1450	1450	1450
ENSG00000274764.6	1947	1947	1947	1947
ENSG00000277058.3	1809	1809	1897	1897
ENSG00000229571.7	1891	1891	1919	1997
ENSG00000277862.1	1447	1447	1447	1447
ENSG00000236179.1	891	891	891	891
ENSG00000275774.3	1156	1156	1156	1156
ENSG00000229978.2	1452	1452	1452	1452
ENSG00000290772.1	667	667	667	667
ENSG00000233336.1	384	384	384	384
ENSG00000280267.6	2153	2153	2398	2433
ENSG00000179412.11	1718	1718	1718	1718
ENSG00000204505.5	2465	2465	2465	2465
ENSG00000279169.3	1747	1747	2163	2442
ENSG00000279804.3	2125	2125	2125	2125
ENSG00000250894.1	1371	1371	1371	1371
ENSG00000270601.5	1855	1855	1855	1855
ENSG00000231219.1	1068	1068	1068	1068
ENSG00000207511.1	107	107	107	107
ENSG00000182330.11	1564	1564	1570	1611
ENSG00000237700.2	1518	1518	1518	1518
ENSG00000204501.7	1865	1865	1865	1865
ENSG00000228229.2	384	384	384	384
ENSG00000204481.8	2164	2164	2164	2164
ENSG00000204480.9	2123	2123	2123	2123
ENSG00000204479.4	1578	1578	1578	1578
ENSG00000204478.11	1597	1597	1597	1597
ENSG00000162494.6	2168	2168	2168	2168
ENSG00000259961.1	477	477	477	477
ENSG00000215909.3	371	371	371	371
ENSG00000162493.17	1569	1305	3104	3707
ENSG00000222952.1	101	101	101	101
ENSG00000237445.2	379	379	379	379
ENSG00000253085.1	130	130	130	130
ENSG00000116731.23	4452	5797	7957	9691
ENSG00000289380.1	688	688	688	688
ENSG00000189337.17	3481	3643	6874	10591
ENSG00000252151.1	103	103	103	103
ENSG00000231606.2	976	976	1239	1549
ENSG00000234593.3	1081	1057	1343	2134
ENSG00000235829.1	326	326	326	326
ENSG00000287756.1	1453	1453	1453	1453
ENSG00000175147.13	4619	5022	7100	9697
ENSG00000171729.14	1891	1861	1971	2238
ENSG00000204464.7	348	348	441	559
ENSG00000215720.4	710	710	710	710
ENSG00000278480.1	966	966	966	966
ENSG00000142621.21	3806	4722	5610	6364
ENSG00000233485.1	3105	3105	3105	3105
ENSG00000236045.1	727	727	727	727
ENSG00000228140.2	5178	5178	5178	5178
ENSG00000142634.13	2422	2422	2422	2422
ENSG00000162438.12	3314	3314	3482	3483
ENSG00000142615.8	916	916	916	916
ENSG00000215704.10	915	915	915	915
ENSG00000132906.18	2560	2214	4463	4607
ENSG00000116138.13	4429	4664	6034	7817
ENSG00000251866.1	140	140	140	140
ENSG00000272510.1	346	346	346	346
ENSG00000116771.6	3095	3095	3095	3095
ENSG00000237301.1	2845	2845	2845	2845
ENSG00000235084.3	447	447	447	447
ENSG00000252417.1	68	68	68	68
ENSG00000236500.1	225	225	225	225
ENSG00000197312.12	10667	10667	10667	10667
ENSG00000215695.2	2321	2321	2321	2321
ENSG00000271742.1	256	256	256	256
ENSG00000116786.13	3971	4004	4134	4134
ENSG00000237938.5	645	645	645	645
ENSG00000162461.8	3129	3129	3129	3129
ENSG00000224459.2	642	642	642	642
ENSG00000162460.7	1443	1443	1443	1443
ENSG00000162458.13	2471	2428	3498	4009
ENSG00000224321.1	490	490	490	490
ENSG00000233954.7	1228	1228	2180	2180
ENSG00000178715.8	438	438	438	438
ENSG00000179743.4	2473	2473	2473	2473
ENSG00000065526.13	12385	12385	12385	12385
ENSG00000270620.1	211	211	211	211
ENSG00000116809.12	2667	2720	2770	2794
ENSG00000234607.2	563	563	563	563
ENSG00000231353.1	260	260	260	260
ENSG00000275503.1	236	236	236	236
ENSG00000224966.4	962	962	962	962
ENSG00000183888.4	3039	3039	3039	3039
ENSG00000233078.1	466	466	466	466
ENSG00000173641.18	1635	2128	2415	2651
ENSG00000186510.12	2356	2491	2581	2584
ENSG00000232456.1	704	704	704	704
ENSG00000184908.20	2791	2869	3331	3995
ENSG00000185519.9	1720	1720	1720	1720
ENSG00000142627.13	3946	3946	3946	3946
ENSG00000227959.2	1758	1758	1758	1758
ENSG00000224621.1	544	544	544	544
ENSG00000234166.1	439	439	439	439
ENSG00000142632.17	3322	3322	3322	3322
ENSG00000291077.1	665	665	1002	1002
ENSG00000237276.10	1720	1720	1720	1720
ENSG00000288398.1	2662	2662	2662	2662
ENSG00000132881.12	1574	1574	1574	1574
ENSG00000233929.1	186	186	186	186
ENSG00000037637.11	6227	6227	6227	6227
ENSG00000055070.17	2805	3424	3480	3634
ENSG00000226457.1	381	381	381	381
ENSG00000187144.11	1381	1454	2015	2915
ENSG00000157191.20	1412	1432	2018	2021
ENSG00000226029.1	3245	3245	3245	3245
ENSG00000290842.1	2971	2971	5368	5524
ENSG00000080947.16	2039	2039	2039	2039
ENSG00000206652.1	164	164	164	164
ENSG00000261135.1	1110	1110	1110	1110
ENSG00000285853.1	1558	1558	1558	1558
ENSG00000224174.2	327	327	327	327
ENSG00000233421.5	1548	1548	1548	1548
ENSG00000277344.1	144	144	144	144
ENSG00000225710.1	882	882	882	882
ENSG00000219481.11	5932	5932	5932	5932
ENSG00000271732.1	339	339	339	339
ENSG00000291072.1	2018	2102	2575	4216
ENSG00000215908.12	2773	2773	2773	2773
ENSG00000283773.1	166	166	166	166
ENSG00000186301.8	2291	2291	2291	2291
ENSG00000282143.1	817	817	817	817
ENSG00000207513.1	164	164	164	164
ENSG00000280114.1	1351	1351	1351	1351
ENSG00000236698.1	435	435	435	435
ENSG00000290849.1	571	571	571	571
ENSG00000268869.7	3693	3693	3693	3693
ENSG00000279151.1	406	406	406	406
ENSG00000282740.1	819	819	819	819
ENSG00000058453.17	6660	6660	6660	6660
ENSG00000290850.1	573	573	573	573
ENSG00000207389.1	164	164	164	164
ENSG00000227684.3	498	498	498	498
ENSG00000290851.1	2579	3184	3995	4881
ENSG00000186715.12	2185	2185	2185	2185
ENSG00000223643.6	735	735	735	735
ENSG00000230239.1	882	882	882	882
ENSG00000263811.1	73	73	73	73
ENSG00000228549.5	2520	2520	2520	2520
ENSG00000277234.1	144	144	144	144
ENSG00000238142.4	1125	1125	1666	1776
ENSG00000235241.1	508	508	508	508
ENSG00000207005.1	164	164	164	164
ENSG00000272426.1	438	438	438	438
ENSG00000290122.1	198	198	198	198
ENSG00000117122.14	1007	1007	1045	1045
ENSG00000286898.1	385	385	385	385
ENSG00000226526.1	636	636	636	636
ENSG00000159363.19	3886	3981	3996	3996
ENSG00000288636.1	312	312	312	312
ENSG00000117118.10	1015	1015	1015	1015
ENSG00000117115.13	2984	2984	4361	4594
ENSG00000204362.6	2633	2633	4676	4676
ENSG00000282843.1	1228	1228	1228	1228
ENSG00000142623.11	3846	3846	3846	3846
ENSG00000142619.4	3189	3189	3189	3189
ENSG00000266634.1	87	87	87	87
ENSG00000159339.13	1554	1554	2267	2742
ENSG00000276747.1	2396	2396	2396	2396
ENSG00000227751.1	311	311	311	311
ENSG00000179051.14	3035	3035	4040	4079
ENSG00000290096.1	143	143	143	143
ENSG00000074964.17	4115	4035	4625	4832
ENSG00000236648.2	821	821	943	1020
ENSG00000117148.8	1755	1755	1841	1844
ENSG00000284653.1	2013	2013	2013	2013
ENSG00000261781.1	2471	2471	2471	2471
ENSG00000117154.12	1892	1892	1892	1892
ENSG00000280222.1	6473	6473	6473	6473
ENSG00000230035.2	430	430	430	430
ENSG00000225387.1	491	491	491	491
ENSG00000179023.9	5045	5045	5045	5045
ENSG00000235282.3	266	266	266	266
ENSG00000225478.2	223	223	223	223
ENSG00000009709.12	3391	2260	6213	6473
ENSG00000179002.6	2520	2520	2520	2520
ENSG00000159423.17	2540	2540	3139	3337
ENSG00000265606.1	74	74	74	74
ENSG00000221662.1	78	78	78	78
ENSG00000169991.11	6179	6179	6179	6179
ENSG00000272084.1	3402	3402	3402	3402
ENSG00000127481.15	6232	3753	15892	19580
ENSG00000230424.3	665	665	665	665
ENSG00000127463.16	5372	5488	6640	6649
ENSG00000053372.5	2049	2049	2049	2049
ENSG00000286064.1	339	339	339	339
ENSG00000211454.16	1313	1313	1313	1313
ENSG00000162482.5	1215	1215	1215	1215
